Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Tomas Satoransky,G,27,WAS,2,0,13.5,1.0,3.0,.333,0.5,0.5,1.000,0.5,2.5,.200,.417,2.0,2.0,1.000,0.0,2.0,2.0,2.0,0.5,0.5,0.5,2.0,4.5
Dennis Schroder,PG,25,OKC,3,2,32.0,4.7,16.7,.280,1.3,4.7,.286,3.3,12.0,.278,.320,3.7,4.0,.917,1.0,4.0,5.0,7.3,1.0,0.3,3.0,4.0,14.3
Mike Scott,PF,30,LAC,3,0,6.3,0.3,0.7,.500,0.3,0.3,1.000,0.0,0.3,.000,.750,0.0,0.0,,0.3,0.7,1.0,0.7,0.0,0.0,0.0,0.7,1.0
Wayne Selden,SG,24,MEM,2,0,7.0,1.5,2.0,.750,0.5,0.5,1.000,1.0,1.5,.667,.875,1.0,1.0,1.000,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.5,4.5
Collin Sexton,G,20,CLE,3,0,22.7,3.3,9.0,.370,0.0,0.7,.000,3.3,8.3,.400,.370,2.3,2.3,1.000,0.7,1.7,2.3,1.0,0.0,0.0,2.0,3.0,9.0
Landry Shamet,G,21,PHI,3,0,21.0,1.3,5.0,.267,1.3,4.0,.333,0.0,1.0,.000,.400,0.3,0.7,.500,0.7,2.3,3.0,1.0,0.7,0.3,0.3,0.3,4.3
Iman Shumpert,SG,28,SAC,3,1,23.0,4.7,8.0,.583,2.7,4.7,.571,2.0,3.3,.600,.750,1.3,1.7,.800,0.0,2.7,2.7,1.3,1.0,0.7,0.7,2.3,13.3
Pascal Siakam,PF,24,TOR,3,2,21.3,4.0,7.3,.545,0.7,1.3,.500,3.3,6.0,.556,.591,0.3,1.0,.333,1.3,4.3,5.7,2.0,0.3,0.7,1.3,3.0,9.0
Ben Simmons,PG,22,PHI,3,3,28.0,4.7,8.3,.560,0.0,0.0,,4.7,8.3,.560,.560,2.7,4.7,.571,1.3,8.0,9.3,7.7,1.7,1.3,2.0,2.3,12.0
Jonathon Simmons,SG,29,ORL,2,0,28.0,3.5,10.0,.350,0.5,3.5,.143,3.0,6.5,.462,.375,2.0,3.0,.667,1.5,2.5,4.0,1.0,0.0,0.5,0.5,4.0,9.5
Marcus Smart,SG,24,BOS,3,0,25.0,1.7,5.0,.333,0.7,2.7,.250,1.0,2.3,.429,.400,1.7,2.7,.625,0.7,2.3,3.0,4.7,0.7,0.3,1.7,3.0,5.7
Dennis Smith,PG,21,DAL,2,2,27.0,6.5,16.5,.394,1.0,5.0,.200,5.5,11.5,.478,.424,2.0,2.5,.800,0.5,2.0,2.5,5.5,1.5,0.0,1.0,3.0,16.0
Ish Smith,PG,30,DET,2,0,28.5,5.5,11.0,.500,2.0,4.0,.500,3.5,7.0,.500,.591,0.0,0.0,,0.0,1.5,1.5,4.0,0.5,0.0,1.5,3.5,13.0
J.R. Smith,G-F,33,CLE,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Jason Smith,F-C,32,WAS,2,0,16.0,1.5,3.5,.429,0.0,0.5,.000,1.5,3.0,.500,.429,2.0,2.0,1.000,0.5,5.0,5.5,0.0,0.0,0.0,1.5,3.5,5.0
Tony Snell,SG,27,MIL,2,0,14.5,2.0,4.5,.444,1.0,3.0,.333,1.0,1.5,.667,.556,0.0,0.5,.000,0.5,1.5,2.0,1.0,0.0,0.0,0.0,1.0,5.0
Ray Spalding,F,21,DAL,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omari Spellman,F,21,ATL,2,0,16.0,4.5,6.0,.750,2.5,3.5,.714,2.0,2.5,.800,.958,0.5,1.0,.500,0.5,1.5,2.0,0.5,0.5,0.5,1.0,2.5,12.0
Nik Stauskas,G,25,POR,2,0,24.0,4.0,8.0,.500,3.0,5.5,.545,1.0,2.5,.400,.688,2.5,2.5,1.000,0.0,1.5,1.5,2.5,1.0,0.0,0.0,0.5,13.5
Lance Stephenson,G-F,28,LAL,2,0,19.5,3.0,6.5,.462,0.0,2.0,.000,3.0,4.5,.667,.462,0.5,1.0,.500,1.0,3.0,4.0,1.5,0.5,0.0,0.5,1.5,6.5
Edmond Sumner,PG,23,IND,3,0,4.0,0.3,1.0,.333,0.0,0.3,.000,0.3,0.7,.500,.333,0.0,0.7,.000,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.7
Caleb Swanigan,F,21,POR,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jayson Tatum,SF,20,BOS,3,3,33.7,7.7,16.0,.479,1.7,4.7,.357,6.0,11.3,.529,.531,4.0,4.3,.923,1.0,9.7,10.7,1.7,1.3,0.3,3.3,3.0,21.0
Jeff Teague,PG,30,MIN,3,3,32.3,5.7,11.7,.486,1.3,2.7,.500,4.3,9.0,.481,.543,6.7,6.7,1.000,0.0,2.0,2.0,6.7,1.0,0.0,2.3,2.0,19.3
Garrett Temple,SG,32,MEM,2,2,29.0,7.0,12.0,.583,4.5,7.0,.643,2.5,5.0,.500,.771,2.5,3.5,.714,0.0,2.0,2.0,2.0,0.5,1.0,1.0,2.5,21.0
Daniel Theis,C,26,BOS,2,0,9.0,0.5,2.0,.250,0.0,0.5,.000,0.5,1.5,.333,.250,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.5,0.0,2.0,1.0
Lance Thomas,PF,30,NYK,3,3,18.0,0.7,3.3,.200,0.7,1.7,.400,0.0,1.7,.000,.300,1.0,1.3,.750,0.7,1.3,2.0,0.7,0.3,0.7,1.3,2.3,3.0
Klay Thompson,SG,28,GSW,3,3,35.7,5.3,15.0,.356,0.7,5.3,.125,4.7,9.7,.483,.378,2.3,2.3,1.000,0.7,4.3,5.0,0.3,0.3,0.7,2.3,2.7,13.7
Tristan Thompson,C,27,CLE,3,3,30.0,4.3,6.7,.650,0.0,0.0,,4.3,6.7,.650,.650,0.7,1.3,.500,4.0,6.7,10.7,1.3,0.3,0.7,2.0,3.3,9.3
Anthony Tolliver,PF,33,MIN,3,0,18.7,1.7,4.0,.417,1.7,3.7,.455,0.0,0.3,.000,.625,0.7,1.0,.667,0.0,1.7,1.7,0.7,0.7,0.0,0.3,2.0,5.7
Karl-Anthony Towns,C,23,MIN,3,3,30.3,5.0,10.7,.469,2.3,3.3,.700,2.7,7.3,.364,.578,4.7,5.0,.933,1.3,6.3,7.7,2.3,0.3,1.7,2.3,5.0,17.0
Allonzo Trier,G,23,NYK,3,0,22.3,3.7,8.7,.423,1.0,2.3,.429,2.7,6.3,.421,.481,4.3,5.0,.867,0.7,2.0,2.7,0.3,0.3,0.7,2.3,0.3,12.7
P.J. Tucker,PF,33,HOU,3,3,35.7,3.0,6.3,.474,2.3,4.7,.500,0.7,1.7,.400,.658,1.0,2.0,.500,1.0,3.7,4.7,1.7,0.7,0.7,0.3,3.3,9.3
Evan Turner,G,30,POR,2,0,23.0,4.5,8.0,.563,0.0,0.0,,4.5,8.0,.563,.563,1.5,2.0,.750,0.5,3.0,3.5,5.5,1.5,0.0,2.5,1.5,10.5
Myles Turner,C,22,IND,3,3,24.7,4.3,9.0,.481,0.3,1.7,.200,4.0,7.3,.545,.500,2.0,2.3,.857,2.0,4.7,6.7,1.0,0.3,2.0,1.0,2.3,11.0
Ekpe Udoh,C-F,31,UTA,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
Tyler Ulis,G,23,CHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonas Valanciunas,C,26,TOR,3,2,18.0,3.0,6.3,.474,0.0,0.7,.000,3.0,5.7,.529,.474,2.7,3.0,.889,1.7,6.3,8.0,1.3,0.0,0.3,1.0,3.3,8.7
Fred VanVleet,PG,24,TOR,3,0,26.7,4.7,11.3,.412,1.3,4.7,.286,3.3,6.7,.500,.471,2.0,3.7,.545,0.7,3.3,4.0,5.7,0.0,0.0,1.3,2.3,12.7
Noah Vonleh,PF,23,NYK,3,0,16.7,2.3,3.3,.700,0.0,0.0,,2.3,3.3,.700,.700,2.3,4.0,.583,3.0,6.7,9.7,2.0,0.0,0.3,0.3,2.0,7.0
Nikola Vucevic,C,28,ORL,3,3,29.3,6.7,12.7,.526,1.3,1.3,1.000,5.3,11.3,.471,.579,2.3,2.7,.875,3.0,6.7,9.7,6.7,1.0,1.3,2.7,1.7,17.0
